Time,mean_fraction_lambda_H
61.5,0.372522
61.75,0.370562
62,0.374885
62.25,0.384872
62.5,0.384101
62.75,0.371446
63,0.381648
63.25,0.380123
63.5,0.388202
63.75,0.383527
64,0.388451
64.25,0.392863
64.5,0.391759
64.75,0.39062
65,0.395421
65.25,0.397226
65.5,0.395732
65.75,0.399925
66,0.391543
66.25,0.39848
66.5,0.403245
66.75,0.396382
67,0.408304
67.25,0.40086
67.5,0.405766
67.75,0.4077
68,0.407907
68.25,0.406
68.5,0.414775
68.75,0.404607
69,0.418704
69.25,0.40974
69.5,0.388139
69.75,0.406147
70,0.409348
70.25,0.415363
70.5,0.39636
70.75,0.415866
71,0.408334
71.25,0.40001
71.5,0.406093
71.75,0.413671
72,0.403544
72.25,0.411694
72.5,0.401494
72.75,0.403682
73,0.426614
73.25,0.406956
73.5,0.404437
73.75,0.408695
74,0.411255
74.25,0.406411
74.5,0.408539
74.75,0.401038
75,0.408147
75.25,0.416093
75.5,0.413992
75.75,0.401489
76,0.429686
76.25,0.404849
76.5,0.406304
76.75,0.394194
77,0.405369
77.25,0.40025
77.5,0.408306
77.75,0.408732
78,0.403252
78.25,0.416822
78.5,0.393311
78.75,0.397146
79,0.401588
79.25,0.417567
79.5,0.41065
79.75,0.409624
80,0.399721
80.25,0.420389
80.5,0.413202
80.75,0.403492
81,0.385128
81.25,0.410341
81.5,0.398688
81.75,0.405848
82,0.395544
82.25,0.388301
82.5,0.408774
82.75,0.391738
83,0.415246
83.25,0.382341
83.5,0.388786
83.75,0.382885
84,0.394875
84.25,0.393853
84.5,0.405291
84.75,0.411938
85,0.398982
85.25,0.399721
85.5,0.408372
85.75,0.390483
86,0.396015
86.25,0.407599
86.5,0.419259
86.75,0.381501
87,0.394917
87.25,0.407576
87.5,0.429422
87.75,0.37526
88,0.425321
88.25,0.404059
88.5,0.396169
88.75,0.393204
89,0.387007
89.25,0.419557
89.5,0.394156
89.75,0.405249
90,0.411597
90.25,0.403931
90.5,0.396032
90.75,0.38655
91,0.359388
91.25,0.426544
91.5,0.411534
91.75,0.352404
92,0.388162
92.25,0.407938
92.5,0.428805
92.75,0.419851
93,0.371578
93.25,0.456321
93.5,0.400963
93.75,0.363978
94,0.442138
94.25,0.355965
94.5,0.428892
94.75,0.434938
95,0.434879
95.25,0.424644
95.5,0.405193
95.75,0.402811
96,0.425117
96.25,0.414589
96.5,0.435647
96.75,0.440301
97,0.351856
97.25,0.356482
97.5,0.384665
97.75,0.391547
98,0.38824
98.25,0.406931
98.5,0.384266
98.75,0.352431
99,0.493046
99.25,0.419177
99.5,0.425668
99.75,0.456789
100,0.414203
100.25,0.434699
100.5,0.364709
100.75,0.508474
101,0.388284
101.25,0.447175
101.5,0.429288
101.75,0.303721
102,0.387292
102.25,0.402836
102.5,0.338103
102.75,0.408133
103,0.302484
103.25,0.457513
103.5,0.504797
103.75,0.312253
104,0.527347
104.25,0.399157
104.5,0.434417
104.75,0.513754
105,0.438308
105.25,0.383497
105.5,0.338871
105.75,0.383722
106,0.584729
106.25,0.438903
106.5,0.443753
106.75,0.422185
107,0.333278
107.25,0.355431
107.5,0.422094
107.75,0.461426
108,0.377699
108.25,0.333287
108.5,0.34373
108.75,0.417945
109,0.349582
109.25,0.413715
109.5,0.585681
109.75,0.371045
110,0.393839
110.25,0.452311
110.5,0.481344
110.75,0.499158
111,0.48269
111.25,0.499814
111.5,0.368379
111.75,0.449932
112,0.344809
112.25,0.387049
112.5,0.45424
112.75,0.521554
113,0.461498
113.25,0.293985
113.5,0.559325
113.75,0.388808
114,0.411679
114.25,0.420896
114.5,0.541597
114.75,0.460856
115,0.784147
115.25,0.586594
115.5,0.222211
115.75,0.349968
116,0.363561
116.25,0.533196
116.5,0.624691
116.75,0.499787
117,0.499969
117.25,0.33329
117.5,0.499929
117.75,0.357125
118,0.443871
118.25,0.555542
118.5,0.428304
118.75,0.333296
119,0.285708
119.25,0.384556
119.5,0.999998
119.75,0.577123
120,0.199999
120.25,0
120.5,0.0999946
120.75,0.25
121,0.25
121.25,0.333331
121.5,0.538242
121.75,0.428553
122,0
122.25,0
122.5,0.33333
122.75,0.571427
123,0.333333
123.25,0.399997
123.5,0.333198
123.75,0.399999
124,0.499997
124.25,0.333332
124.5,0
124.75,0.399963
125,0.6
125.25,0.5
125.5,0.499943
125.75,0.399999
126,0
126.25,0
126.5,0
126.75,0.2
127,0.2
127.25,1
127.5,0.333333
127.75,0.39995
128,0.399994
128.25,0
128.5,0.399996
128.75,0.333333
129,0.666664
129.25,0
129.5,0.666665
129.75,0.49997
130,0
130.25,0.998976
130.5,0.333333
130.75,0
131,0
131.25,0.499625
131.5,0.249606
131.75,0.249742
132,1
132.25,1
132.5,0.999939
132.75,0.999823
133,0.666661
133.25,0
133.5,0
133.75,0
134,0
134.25,0
134.5,0
134.75,0
135,0.5
135.25,0
135.5,0.999992
135.75,0
136,0.999999
136.25,0.999973
136.5,0.499905
136.75,0
137,0.499999
137.25,0
137.5,0
137.75,0.999653
138,0
138.25,0
138.5,0
138.75,0
139,0
139.25,1
139.5,0
139.75,0
140,0
140.25,0.999998
140.5,0
140.75,0
141,0
141.25,0
141.5,0
141.75,0
142,0
142.25,0
142.5,0
142.75,0
143,0
143.25,0
143.5,0
143.75,0
144,0
144.25,0
144.5,0
144.75,0
145,0
145.25,0
145.5,0
145.75,0
146,0
146.25,0
146.5,0
146.75,0
147,0
147.25,0
147.5,0.999998
147.75,0
148,0
148.25,0
148.5,0
148.75,0
149,0
149.25,0
149.5,0
149.75,0
150,0.333332
150.25,0
150.5,0
150.75,0
151,0.998304
151.25,0
151.5,0
151.75,0
152,0
152.25,0
152.5,0
152.75,0
153,0
153.25,0
153.5,0
153.75,0
154,0
154.25,0
154.5,0
154.75,0
155,0
155.25,0
155.5,0
155.75,0
156,0
156.25,0
156.5,0.999902
156.75,0
157,0
157.25,0
157.5,0
157.75,0
158,0
158.25,0
158.5,0
158.75,0
159,0
159.25,0
159.5,0
159.75,0
160,0
160.25,0
160.5,0
160.75,0
161,0
161.25,0
161.5,0
161.75,0
162,0
162.25,0
162.5,0
162.75,0
163,0
163.25,0
163.5,0
163.75,0
164,0
164.25,0
164.5,0
164.75,0
165,0
165.25,0
165.5,0
165.75,0.999892
166,0
166.25,0
166.5,0
166.75,0
167,0
167.25,0
167.5,0
167.75,0
168,0
168.25,0
168.5,0
168.75,0
169,0
169.25,0
169.5,0
169.75,0
170,0
170.25,0
170.5,0
170.75,0
171,0
171.25,0
171.5,0
171.75,0
172,0
172.25,0
172.5,0
172.75,0
173,0
173.25,0
173.5,0
173.75,0
174,0
174.25,0
174.5,0
174.75,0
175,0.999993
175.25,0
175.5,0
175.75,0
176,0
176.25,0
176.5,0
176.75,0
177,0
177.25,0
177.5,0
177.75,0
178,0
178.25,0
178.5,0
178.75,0
179,0
179.25,0
179.5,0
179.75,0
180,0
180.25,0
180.5,0
180.75,0
181,0
181.25,0
181.5,0
181.75,0
182,0
182.25,0
182.5,0
182.75,0
183,0
183.25,0
183.5,0
183.75,0
184,0
184.25,0
184.5,0
184.75,0
185,0
185.25,0
185.5,0
185.75,0
186,0
186.25,0
186.5,0
186.75,0
187,0
187.25,0
187.5,0
187.75,0
188,0
188.25,0
188.5,0
188.75,0
189,0
189.25,0
189.5,0
189.75,0
190,0
190.25,0
190.5,0
190.75,0
191,0
191.25,0
191.5,0
191.75,0
192,0
192.25,0
192.5,0
192.75,0
193,0
193.25,0
193.5,0
193.75,0
194,0
194.25,0
194.5,0
194.75,0
195,0
195.25,0
195.5,0
195.75,0
196,0
196.25,0
196.5,0
196.75,0
197,0
197.25,0
197.5,0
197.75,0
198,0
198.25,0
198.5,0
198.75,0
199,0
199.25,0
199.5,0
199.75,0
200,0
200.25,0
200.5,0
200.75,0
201,0
201.25,0
201.5,0
201.75,0
202,0
202.25,0
202.5,0
202.75,0
203,0
203.25,0
203.5,0
203.75,0
204,0
204.25,0
204.5,0
204.75,0
205,0
205.25,0
205.5,0
205.75,0
206,0
206.25,0
206.5,0
206.75,0
207,0
207.25,0
207.5,0
207.75,0
208,0
208.25,0
208.5,0
208.75,0
209,0
209.25,0
209.5,0
209.75,0
210,0
210.25,0
210.5,0
210.75,0
211,0
211.25,0
211.5,0
211.75,0
212,0
212.25,0
212.5,0
212.75,0
213,0
213.25,0
213.5,0
213.75,0
214,0
214.25,0
214.5,0
214.75,0
215,0
215.25,0
215.5,0
215.75,0
216,0
216.25,0
216.5,0
216.75,0
217,0
217.25,0
217.5,0
217.75,0
218,0
218.25,0
218.5,0
218.75,0
219,0
219.25,0
219.5,0
219.75,0
220,0
220.25,0
220.5,0
220.75,0
221,0
221.25,0
221.5,0
221.75,0
222,0
222.25,0
222.5,0
222.75,0
223,0
223.25,0
223.5,0
223.75,0
224,0
224.25,0
224.5,0
224.75,0
225,0
225.25,0
225.5,0
225.75,0
226,0
226.25,0
226.5,0
226.75,0
227,0
227.25,0
227.5,0
227.75,0
228,0
228.25,0
228.5,0
228.75,0
229,0
229.25,0
229.5,0
229.75,0
230,0
230.25,0
230.5,0
230.75,0
231,0
231.25,0
231.5,0
231.75,0
232,0
232.25,0
232.5,0
232.75,0
233,0
233.25,0
233.5,0
233.75,0
234,0
234.25,0
234.5,0
234.75,0
235,0
235.25,0
235.5,0
235.75,0
236,0
236.25,0
236.5,0
236.75,0
237,0
237.25,0
237.5,0
237.75,0
238,0
238.25,0
238.5,0
238.75,0
239,0
239.25,0
239.5,0
239.75,0
240,0
240.25,0
240.5,0
240.75,0
241,0
241.25,0
241.5,0
241.75,0
242,0
242.25,0
242.5,0
242.75,0
243,0
243.25,0
243.5,0
243.75,0
244,0
244.25,0
244.5,0
244.75,0
245,0
245.25,0
245.5,0
245.75,0
246,0
246.25,0
246.5,0
246.75,0
247,0
247.25,0
247.5,0
247.75,0
248,0
248.25,0
248.5,0
248.75,0
249,0
249.25,0
249.5,0
249.75,0
250,0
250.25,0
250.5,0
250.75,0
251,0
251.25,0
251.5,0
251.75,0
252,0
252.25,0
252.5,0
252.75,0
253,0
253.25,0
253.5,0
253.75,0
254,0
254.25,0
254.5,0
254.75,0
255,0
255.25,0
255.5,0
255.75,0
256,0
256.25,0
256.5,0
256.75,0
257,0
257.25,0
257.5,0
257.75,0
258,0
258.25,0
258.5,0
258.75,0
259,0
259.25,0
259.5,0
259.75,0
260,0
260.25,0
260.5,0
260.75,0
261,0
261.25,0
261.5,0
261.75,0
262,0
262.25,0
262.5,0
262.75,0
263,0
263.25,0
263.5,0
263.75,0
264,0
264.25,0
264.5,0
264.75,0
265,0
265.25,0
265.5,0
265.75,0
266,0
266.25,0
266.5,0
266.75,0
267,0
267.25,0
267.5,0
267.75,0
268,0
268.25,0
268.5,0
268.75,0
269,0
269.25,0
269.5,0
269.75,0
270,0
270.25,0
270.5,0
270.75,0
271,0
271.25,0
271.5,0
271.75,0
272,0
272.25,0
272.5,0
272.75,0
273,0
273.25,0
273.5,0
273.75,0
274,0
274.25,0
274.5,0
274.75,0
275,0
275.25,0
275.5,0
275.75,0
276,0
276.25,0
276.5,0
276.75,0
277,0
277.25,0
277.5,0
277.75,0
278,0
278.25,0
278.5,0
278.75,0
279,0
279.25,0
279.5,0
279.75,0
280,0
280.25,0
280.5,0
280.75,0
281,0
281.25,0
281.5,0
281.75,0
282,0
282.25,0
282.5,0
282.75,0
283,0
283.25,0
283.5,0
283.75,0
284,0
284.25,0
284.5,0
284.75,0
285,0
285.25,0
285.5,0
285.75,0
286,0
286.25,0
286.5,0
286.75,0
287,0
287.25,0
287.5,0
287.75,0
288,0
288.25,0
288.5,0
288.75,0
289,0
289.25,0
289.5,0
289.75,0
290,0
290.25,0
290.5,0
290.75,0
291,0
291.25,0
291.5,0
291.75,0
292,0
292.25,0
292.5,0
292.75,0
293,0
293.25,0
293.5,0
293.75,0
294,0
294.25,0
294.5,0
294.75,0
295,0
295.25,0
295.5,0
295.75,0
296,0
296.25,0
296.5,0
296.75,0
297,0
297.25,0
297.5,0
297.75,0
298,0
298.25,0
298.5,0
298.75,0
299,0
299.25,0
299.5,0
299.75,0
300,0
300.25,0
300.5,0
300.75,0
301,0
301.25,0
301.5,0
301.75,0
302,0
302.25,0
302.5,0
302.75,0
303,0
303.25,0
303.5,0
303.75,0
304,0
304.25,0
304.5,0
304.75,0
305,0
305.25,0
305.5,0
305.75,0
306,0
306.25,0
306.5,0
306.75,0
307,0
307.25,0
307.5,0
307.75,0
308,0
308.25,0
308.5,0
308.75,0
309,0
309.25,0
309.5,0
309.75,0
310,0
310.25,0
310.5,0
310.75,0
311,0
311.25,0
311.5,0
311.75,0
312,0
312.25,0
312.5,0
312.75,0
313,0
313.25,0
313.5,0
313.75,0
314,0
314.25,0
314.5,0
314.75,0
315,0
315.25,0
315.5,0
315.75,0
316,0
316.25,0
316.5,0
316.75,0
317,0
317.25,0
317.5,0
317.75,0
318,0
318.25,0
318.5,0
318.75,0
319,0
319.25,0
319.5,0
319.75,0
320,0
320.25,0
320.5,0
320.75,0
321,0
321.25,0
321.5,0
321.75,0
322,0
322.25,0
322.5,0
322.75,0
323,0
323.25,0
323.5,0
323.75,0
324,0
324.25,0
324.5,0
324.75,0
325,0
325.25,0
325.5,0
325.75,0
326,0
326.25,0
326.5,0
326.75,0
327,0
327.25,0
327.5,0
327.75,0
328,0
328.25,0
328.5,0
328.75,0
329,0
329.25,0
329.5,0
329.75,0
330,0
330.25,0
330.5,0
330.75,0
331,0
331.25,0
331.5,0
331.75,0
332,0
332.25,0
332.5,0
332.75,0
333,0
333.25,0
333.5,0
333.75,0
334,0
334.25,0
334.5,0
334.75,0
335,0
335.25,0
335.5,0
335.75,0
336,0
336.25,0
336.5,0
336.75,0
337,0
337.25,0
337.5,0
337.75,0
338,0
338.25,0
338.5,0
338.75,0
339,0
339.25,0
339.5,0
339.75,0
340,0
340.25,0
340.5,0
340.75,0
341,0
341.25,0
341.5,0
341.75,0
342,0
342.25,0
342.5,0
342.75,0
343,0
343.25,0
343.5,0
343.75,0
344,0
344.25,0
344.5,0
344.75,0
345,0
345.25,0
345.5,0
345.75,0
346,0
346.25,0
346.5,0
346.75,0
347,0
347.25,0
347.5,0
347.75,0
348,0
348.25,0
348.5,0
348.75,0
349,0
349.25,0
349.5,0
349.75,0
350,0
350.25,0
350.5,0
350.75,0
351,0
351.25,0
351.5,0
351.75,0
352,0
352.25,0
352.5,0
352.75,0
353,0
353.25,0
353.5,0
353.75,0
354,0
354.25,0
354.5,0
354.75,0
355,0
355.25,0
355.5,0
355.75,0
356,0
356.25,0
356.5,0
356.75,0
357,0
357.25,0
357.5,0
357.75,0
358,0
358.25,0
358.5,0
358.75,0
359,0
359.25,0
359.5,0
359.75,0
360,0
360.25,0
360.5,0
360.75,0
361,0
361.25,0
361.5,0
361.75,0
362,0
362.25,0
362.5,0
362.75,0
363,0
363.25,0
363.5,0
363.75,0
364,0
364.25,0
364.5,0
364.75,0
