Time,mean_fraction_lambda_W
61.5,0.35215
61.75,0.351236
62,0.347725
62.25,0.339277
62.5,0.339073
62.75,0.343693
63,0.335032
63.25,0.332594
63.5,0.322788
63.75,0.318212
64,0.320755
64.25,0.313857
64.5,0.313161
64.75,0.309037
65,0.302615
65.25,0.296154
65.5,0.296842
65.75,0.298236
66,0.291973
66.25,0.290643
66.5,0.278735
66.75,0.293734
67,0.280127
67.25,0.281394
67.5,0.278073
67.75,0.280188
68,0.270104
68.25,0.274833
68.5,0.264259
68.75,0.266138
69,0.259095
69.25,0.260508
69.5,0.270432
69.75,0.251167
70,0.256255
70.25,0.25532
70.5,0.264927
70.75,0.252271
71,0.249336
71.25,0.253919
71.5,0.247707
71.75,0.236864
72,0.249833
72.25,0.236977
72.5,0.233409
72.75,0.242725
73,0.22744
73.25,0.239468
73.5,0.24269
73.75,0.233359
74,0.225412
74.25,0.234907
74.5,0.222424
74.75,0.238144
75,0.226954
75.25,0.233321
75.5,0.225257
75.75,0.232401
76,0.217172
76.25,0.224365
76.5,0.220359
76.75,0.223332
77,0.22279
77.25,0.23115
77.5,0.218327
77.75,0.212301
78,0.22243
78.25,0.226566
78.5,0.217899
78.75,0.227349
79,0.217969
79.25,0.203537
79.5,0.230102
79.75,0.223425
80,0.208368
80.25,0.213314
80.5,0.202445
80.75,0.213968
81,0.218654
81.25,0.207356
81.5,0.212314
81.75,0.19958
82,0.210956
82.25,0.211806
82.5,0.225459
82.75,0.210588
83,0.19981
83.25,0.211504
83.5,0.230235
83.75,0.203135
84,0.194352
84.25,0.219667
84.5,0.206365
84.75,0.186982
85,0.197441
85.25,0.216438
85.5,0.191574
85.75,0.202309
86,0.217217
86.25,0.190602
86.5,0.189283
86.75,0.18181
87,0.201697
87.25,0.197921
87.5,0.209814
87.75,0.196415
88,0.230515
88.25,0.208553
88.5,0.216368
88.75,0.187502
89,0.225461
89.25,0.178811
89.5,0.205353
89.75,0.183852
90,0.199255
90.25,0.175703
90.5,0.237736
90.75,0.196764
91,0.218813
91.25,0.17878
91.5,0.187497
91.75,0.177693
92,0.21165
92.25,0.227243
92.5,0.23259
92.75,0.184738
93,0.213894
93.25,0.175696
93.5,0.228496
93.75,0.218249
94,0.241854
94.25,0.236842
94.5,0.192698
94.75,0.148576
95,0.198369
95.25,0.219154
95.5,0.198955
95.75,0.178925
96,0.184384
96.25,0.138328
96.5,0.139049
96.75,0.152618
97,0.212268
97.25,0.27376
97.5,0.261831
97.75,0.225967
98,0.217362
98.25,0.225817
98.5,0.237304
98.75,0.249497
99,0.142437
99.25,0.182875
99.5,0.185725
99.75,0.206876
100,0.206158
100.25,0.192736
100.5,0.189865
100.75,0.150521
101,0.14357
101.25,0.159305
101.5,0.148999
101.75,0.214976
102,0.0998998
102.25,0.15108
102.5,0.235164
102.75,0.14082
103,0.26305
103.25,0.108259
103.5,0.0869318
103.75,0.22843
104,0.0768881
104.25,0.156144
104.5,0.115914
104.75,0.124981
105,0.123047
105.25,0.20532
105.5,0.118553
105.75,0.19984
106,0.188603
106.25,0.0973119
106.5,0.133264
106.75,0.177255
107,0.187097
107.25,0.111031
107.5,0.155409
107.75,0.282019
108,0.155504
108.25,0.221959
108.5,0.218724
108.75,0.21803
109,0.224904
109.25,0.275674
109.5,0.0344828
109.75,0.257081
110,0.0606018
110.25,0.142845
110.5,0.259115
110.75,0.0929522
111,0.13739
111.25,0.0357143
111.5,0.10526
111.75,0
112,0.103428
112.25,0.0966407
112.5,0.136337
112.75,0.260649
113,0.0384589
113.25,0.176399
113.5,0.119979
113.75,0
114,0.0588217
114.25,0.0524517
114.5,0.0416596
114.75,0.0769231
115,0
115.25,0.235253
115.5,0.222092
115.75,0.0999565
116,0.27264
116.25,0.19972
116.5,0.187402
116.75,0
117,0.165251
117.25,0.111111
117.5,0.0999474
117.75,0.0714041
118,0.110259
118.25,0
118.5,0
118.75,0.22222
119,0.142856
119.25,0.149614
119.5,0
119.75,0.0833272
120,0
120.25,0
120.5,0.199972
120.75,0.249998
121,0.249744
121.25,0
121.5,0.076923
121.75,0.142851
122,0.499998
122.25,0.16666
122.5,0.333333
122.75,0.142784
123,0
123.25,0.399801
123.5,0.499962
123.75,0.199998
124,0.25
124.25,0.333331
124.5,0.333333
124.75,0.199999
125,0
125.25,0
125.5,0.249989
125.75,0.199962
126,0.799981
126.25,0.499988
126.5,0.333332
126.75,0.799899
127,0
127.25,0
127.5,0.333333
127.75,0
128,0
128.25,0
128.5,0
128.75,0
129,0.333064
129.25,0
129.5,0.333333
129.75,0.5
130,0
130.25,0
130.5,0
130.75,0
131,0
131.25,0
131.5,0.25
131.75,0.249969
132,0
132.25,0
132.5,0
132.75,0
133,0
133.25,0.499467
133.5,0
133.75,0
134,0.249999
134.25,0
134.5,0
134.75,0
135,0
135.25,0
135.5,0
135.75,0
136,0
136.25,0
136.5,0.5
136.75,0
137,0
137.25,0
137.5,0
137.75,0
138,0
138.25,0
138.5,0
138.75,0
139,0
139.25,0
139.5,0
139.75,0
140,0
140.25,0
140.5,0
140.75,0
141,0
141.25,0
141.5,0
141.75,0
142,0
142.25,0
142.5,0
142.75,0
143,0
143.25,0
143.5,0
143.75,0
144,0
144.25,0
144.5,0
144.75,0
145,0
145.25,0
145.5,0
145.75,0
146,0
146.25,0
146.5,0
146.75,0
147,0
147.25,0
147.5,0
147.75,0
148,0
148.25,0
148.5,0
148.75,0
149,0
149.25,0
149.5,0
149.75,0
150,0
150.25,0
150.5,0
150.75,0
151,0
151.25,0
151.5,0
151.75,0
152,0
152.25,0
152.5,0
152.75,0
153,0
153.25,0
153.5,0
153.75,0
154,0
154.25,0
154.5,0
154.75,0
155,0
155.25,0
155.5,0
155.75,0
156,0
156.25,0
156.5,0
156.75,0
157,0
157.25,0
157.5,0
157.75,0
158,0
158.25,0
158.5,0
158.75,0
159,0
159.25,0
159.5,0
159.75,0
160,0
160.25,0
160.5,0
160.75,0
161,0
161.25,0
161.5,0
161.75,0
162,0
162.25,0
162.5,0
162.75,0
163,0
163.25,0
163.5,0
163.75,0
164,0
164.25,0
164.5,0
164.75,0
165,0
165.25,0
165.5,0
165.75,0
166,0
166.25,0
166.5,0
166.75,0
167,0
167.25,0
167.5,0
167.75,0
168,0
168.25,0
168.5,0
168.75,0
169,0
169.25,0
169.5,0
169.75,0
170,0
170.25,0
170.5,0
170.75,0
171,0
171.25,0
171.5,0
171.75,0
172,0
172.25,0
172.5,0
172.75,0
173,0
173.25,0
173.5,0
173.75,0
174,0
174.25,0
174.5,0
174.75,0
175,0
175.25,0
175.5,0
175.75,0
176,0
176.25,0
176.5,0
176.75,0
177,0
177.25,0
177.5,0
177.75,0
178,1
178.25,0
178.5,0
178.75,0
179,0
179.25,0
179.5,0
179.75,0
180,0
180.25,0
180.5,0
180.75,0
181,0
181.25,0
181.5,0
181.75,0
182,0
182.25,0
182.5,0
182.75,0
183,0
183.25,0
183.5,0
183.75,0
184,0
184.25,0
184.5,0
184.75,0
185,0
185.25,0
185.5,0
185.75,0
186,0
186.25,0
186.5,0
186.75,0
187,0
187.25,0
187.5,0
187.75,0
188,0
188.25,0
188.5,0
188.75,0
189,0
189.25,0
189.5,0
189.75,0
190,0
190.25,0
190.5,0
190.75,0
191,0
191.25,0
191.5,0
191.75,0
192,0
192.25,0
192.5,0
192.75,0
193,0
193.25,0
193.5,0
193.75,0
194,0
194.25,0
194.5,0
194.75,0
195,0
195.25,0
195.5,0
195.75,0
196,0
196.25,0
196.5,0
196.75,0
197,0
197.25,0
197.5,0
197.75,0
198,0
198.25,0
198.5,0
198.75,0
199,0
199.25,0
199.5,0
199.75,0
200,0
200.25,0
200.5,0
200.75,0
201,0
201.25,0
201.5,0
201.75,0
202,0
202.25,0
202.5,0
202.75,0
203,0
203.25,0
203.5,0
203.75,0
204,0
204.25,0
204.5,0
204.75,0
205,0
205.25,0
205.5,0
205.75,0
206,0
206.25,0
206.5,0
206.75,0
207,0
207.25,0
207.5,0
207.75,0
208,0
208.25,0
208.5,0
208.75,0
209,0
209.25,0
209.5,0
209.75,0
210,0
210.25,0
210.5,0
210.75,0
211,0
211.25,0
211.5,0
211.75,0
212,0
212.25,0
212.5,0
212.75,0
213,0
213.25,0
213.5,0
213.75,0
214,0
214.25,0
214.5,0
214.75,0
215,0
215.25,0
215.5,0
215.75,0
216,0
216.25,0
216.5,0
216.75,0
217,0
217.25,0
217.5,0
217.75,0
218,0
218.25,0
218.5,0
218.75,0
219,0
219.25,0
219.5,0
219.75,0
220,0
220.25,0
220.5,0
220.75,0
221,0
221.25,0
221.5,0
221.75,0
222,0
222.25,0
222.5,0
222.75,0
223,0
223.25,0
223.5,0
223.75,0
224,0
224.25,0
224.5,0
224.75,0
225,0
225.25,0
225.5,0
225.75,0
226,0
226.25,0
226.5,0
226.75,0
227,0
227.25,0
227.5,0
227.75,0
228,0
228.25,0
228.5,0
228.75,0
229,0
229.25,0
229.5,0
229.75,0
230,0
230.25,0
230.5,0
230.75,0
231,0
231.25,0
231.5,0
231.75,0
232,0
232.25,0
232.5,0
232.75,0
233,0
233.25,0
233.5,0
233.75,0
234,0
234.25,0
234.5,0
234.75,0
235,0
235.25,0
235.5,0
235.75,0
236,0
236.25,0
236.5,0
236.75,0
237,0
237.25,0
237.5,0
237.75,0
238,0
238.25,0
238.5,0
238.75,0
239,0
239.25,0
239.5,0
239.75,0
240,0
240.25,0
240.5,0
240.75,0
241,0
241.25,0
241.5,0
241.75,0
242,0
242.25,0
242.5,0
242.75,0
243,0
243.25,0
243.5,0
243.75,0
244,0
244.25,0
244.5,0
244.75,0
245,0
245.25,0
245.5,0
245.75,0
246,0
246.25,0
246.5,0
246.75,0
247,0
247.25,0
247.5,0
247.75,0
248,0
248.25,0
248.5,0
248.75,0
249,0
249.25,0
249.5,0
249.75,0
250,0
250.25,0
250.5,0
250.75,0
251,0
251.25,0
251.5,0
251.75,0
252,0
252.25,0
252.5,0
252.75,0
253,0
253.25,0
253.5,0
253.75,0
254,0
254.25,0
254.5,0
254.75,0
255,0
255.25,0
255.5,0
255.75,0
256,0
256.25,0
256.5,0
256.75,0
257,0
257.25,0
257.5,0
257.75,0
258,0
258.25,0
258.5,0
258.75,0
259,0
259.25,0
259.5,0
259.75,0
260,0
260.25,0
260.5,0
260.75,0
261,0
261.25,0
261.5,0
261.75,0
262,0
262.25,0
262.5,0
262.75,0
263,0
263.25,0
263.5,0
263.75,0
264,0
264.25,0
264.5,0
264.75,0
265,0
265.25,0
265.5,0
265.75,0
266,0
266.25,0
266.5,0
266.75,0
267,0
267.25,0
267.5,0
267.75,0
268,0
268.25,0
268.5,0
268.75,0
269,0
269.25,0
269.5,0
269.75,0
270,0
270.25,0
270.5,0
270.75,0
271,0
271.25,0
271.5,0
271.75,0
272,0
272.25,0
272.5,0
272.75,0
273,0
273.25,0
273.5,0
273.75,0
274,0
274.25,0
274.5,0
274.75,0
275,0
275.25,0
275.5,0
275.75,0
276,0
276.25,0
276.5,0
276.75,0
277,0
277.25,0
277.5,0
277.75,0
278,0
278.25,0
278.5,0
278.75,0
279,0
279.25,0
279.5,0
279.75,0
280,0
280.25,0
280.5,0
280.75,0
281,0
281.25,0
281.5,0
281.75,0
282,0
282.25,0
282.5,0
282.75,0
283,0
283.25,0
283.5,0
283.75,0
284,0
284.25,0
284.5,0
284.75,0
285,0
285.25,0
285.5,0
285.75,0
286,0
286.25,0
286.5,0
286.75,0
287,0
287.25,0
287.5,0
287.75,0
288,0
288.25,0
288.5,0
288.75,0
289,0
289.25,0
289.5,0
289.75,0
290,0
290.25,0
290.5,0
290.75,0
291,0
291.25,0
291.5,0
291.75,0
292,0
292.25,0
292.5,0
292.75,0
293,0
293.25,0
293.5,0
293.75,0
294,0
294.25,0
294.5,0
294.75,0
295,0
295.25,0
295.5,0
295.75,0
296,0
296.25,0
296.5,0
296.75,0
297,0
297.25,0
297.5,0
297.75,0
298,0
298.25,0
298.5,0
298.75,0
299,0
299.25,0
299.5,0
299.75,0
300,0
300.25,0
300.5,0
300.75,0
301,0
301.25,0
301.5,0
301.75,0
302,0
302.25,0
302.5,0
302.75,0
303,0
303.25,0
303.5,0
303.75,0
304,0
304.25,0
304.5,0
304.75,0
305,0
305.25,0
305.5,0
305.75,0
306,0
306.25,0
306.5,0
306.75,0
307,0
307.25,0
307.5,0
307.75,0
308,0
308.25,0
308.5,0
308.75,0
309,0
309.25,0
309.5,0
309.75,0
310,0
310.25,0
310.5,0
310.75,0
311,0
311.25,0
311.5,0
311.75,0
312,0
312.25,0
312.5,0
312.75,0
313,0
313.25,0
313.5,0
313.75,0
314,0
314.25,0
314.5,0
314.75,0
315,0
315.25,0
315.5,0
315.75,0
316,0
316.25,0
316.5,0
316.75,0
317,0
317.25,0
317.5,0
317.75,0
318,0
318.25,0
318.5,0
318.75,0
319,0
319.25,0
319.5,0
319.75,0
320,0
320.25,0
320.5,0
320.75,0
321,0
321.25,0
321.5,0
321.75,0
322,0
322.25,0
322.5,0
322.75,0
323,0
323.25,0
323.5,0
323.75,0
324,0
324.25,0
324.5,0
324.75,0
325,0
325.25,0
325.5,0
325.75,0
326,0
326.25,0
326.5,0
326.75,0
327,0
327.25,0
327.5,0
327.75,0
328,0
328.25,0
328.5,0
328.75,0
329,0
329.25,0
329.5,0
329.75,0
330,0
330.25,0
330.5,0
330.75,0
331,0
331.25,0
331.5,0
331.75,0
332,0
332.25,0
332.5,0
332.75,0
333,0
333.25,0
333.5,0
333.75,0
334,0
334.25,0
334.5,0
334.75,0
335,0
335.25,0
335.5,0
335.75,0
336,0
336.25,0
336.5,0
336.75,0
337,0
337.25,0
337.5,0
337.75,0
338,0
338.25,0
338.5,0
338.75,0
339,0
339.25,0
339.5,0
339.75,0
340,0
340.25,0
340.5,0
340.75,0
341,0
341.25,0
341.5,0
341.75,0
342,0
342.25,0
342.5,0
342.75,0
343,0
343.25,0
343.5,0
343.75,0
344,0
344.25,0
344.5,0
344.75,0
345,0
345.25,0
345.5,0
345.75,0
346,0
346.25,0
346.5,0
346.75,0
347,0
347.25,0
347.5,0
347.75,0
348,0
348.25,0
348.5,0
348.75,0
349,0
349.25,0
349.5,0
349.75,0
350,0
350.25,0
350.5,0
350.75,0
351,0
351.25,0
351.5,0
351.75,0
352,0
352.25,0
352.5,0
352.75,0
353,0
353.25,0
353.5,0
353.75,0
354,0
354.25,0
354.5,0
354.75,0
355,0
355.25,0
355.5,0
355.75,0
356,0
356.25,0
356.5,0
356.75,0
357,0
357.25,0
357.5,0
357.75,0
358,0
358.25,0
358.5,0
358.75,0
359,0
359.25,0
359.5,0
359.75,0
360,0
360.25,0
360.5,0
360.75,0
361,0
361.25,0
361.5,0
361.75,0
362,0
362.25,0
362.5,0
362.75,0
363,0
363.25,0
363.5,0
363.75,0
364,0
364.25,0
364.5,0
364.75,0
